number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.9693242058795438,2026-05-31 11:54:43.744880,2026-05-31 11:54:52.950093,0 days 00:00:09.205213,20,sqrt,6,15,250,COMPLETE
1,0.9717468845524424,2026-05-31 11:54:52.951468,2026-05-31 11:54:58.680672,0 days 00:00:05.729204,18,log2,8,13,100,COMPLETE
2,0.9655322047475252,2026-05-31 11:54:58.682286,2026-05-31 11:55:04.010289,0 days 00:00:05.328003,6,log2,2,5,450,COMPLETE
3,0.9698173506938694,2026-05-31 11:55:04.011796,2026-05-31 11:55:09.124006,0 days 00:00:05.112210,8,log2,2,13,250,COMPLETE
4,0.9683747592383652,2026-05-31 11:55:09.124700,2026-05-31 11:55:15.268913,0 days 00:00:06.144213,17,sqrt,6,5,300,COMPLETE
5,0.9638877154741484,2026-05-31 11:55:15.269796,2026-05-31 11:55:23.361009,0 days 00:00:08.091213,6,sqrt,10,3,350,COMPLETE
6,0.9569027080178794,2026-05-31 11:55:23.362414,2026-05-31 11:55:28.172501,0 days 00:00:04.810087,4,log2,5,15,200,COMPLETE
7,0.9720888170217009,2026-05-31 11:55:28.174146,2026-05-31 11:55:32.847698,0 days 00:00:04.673552,19,log2,7,6,100,COMPLETE
8,0.9628579021209601,2026-05-31 11:55:32.849227,2026-05-31 11:55:36.774198,0 days 00:00:03.924971,6,sqrt,8,20,300,COMPLETE
9,0.9718483431842712,2026-05-31 11:55:36.775171,2026-05-31 11:55:41.342911,0 days 00:00:04.567740,19,log2,2,3,350,COMPLETE
10,0.9708589313082415,2026-05-31 11:55:41.344366,2026-05-31 11:55:49.165985,0 days 00:00:07.821619,13,log2,4,8,100,COMPLETE
11,0.9736882109872876,2026-05-31 11:55:49.167397,2026-05-31 11:55:53.793531,0 days 00:00:04.626134,14,log2,1,2,450,COMPLETE
12,0.9720400639380683,2026-05-31 11:55:53.794710,2026-05-31 11:55:58.687382,0 days 00:00:04.892672,14,log2,8,9,500,COMPLETE
13,0.9738482686535607,2026-05-31 11:55:58.689132,2026-05-31 11:56:03.398316,0 days 00:00:04.709184,15,log2,4,2,450,COMPLETE
14,0.9682002769071669,2026-05-31 11:56:03.399805,2026-05-31 11:56:11.284330,0 days 00:00:07.884525,15,log2,1,2,450,COMPLETE
15,0.9738575975426175,2026-05-31 11:56:11.285731,2026-05-31 11:56:16.070173,0 days 00:00:04.784442,10,log2,4,8,400,COMPLETE
16,0.9741191765981051,2026-05-31 11:56:16.071214,2026-05-31 11:56:20.829888,0 days 00:00:04.758674,10,log2,4,9,400,COMPLETE
17,0.9722640717297976,2026-05-31 11:56:20.831354,2026-05-31 11:56:25.414148,0 days 00:00:04.582794,10,log2,4,10,400,COMPLETE
18,0.9692118131956664,2026-05-31 11:56:25.415159,2026-05-31 11:56:29.507842,0 days 00:00:04.092683,11,sqrt,3,8,400,COMPLETE
19,0.9716348913307286,2026-05-31 11:56:29.509518,2026-05-31 11:56:38.522830,0 days 00:00:09.013312,10,log2,5,11,500,COMPLETE
